-1	-1.68003
-0.9	-2.13678
-0.8	-2.44368
-0.7	-2.62588
-0.6	-2.67539
-0.5	-2.57567
-0.4	-2.31668
-0.3	-1.90255
-0.2	-1.35384
-0.1	-0.70584
0.0	-0.00465842
0.1	0.698086
0.2	1.35081
0.3	1.90716
0.4	2.33029
0.5	2.59597
0.6	2.69429
0.7	2.62997
0.8	2.42143
0.9	2.09862
1	1.70006
1.1	1.26926
1.2	0.850806
1.3	0.486582
1.4	0.212186
1.5	0.0540098
1.6	0.0270757
1.7	0.133828
1.8	0.363951
1.9	0.695225
2	1.09537
2.1	1.52473
2.2	1.93963
2.3	2.29609
2.4	2.5537
2.5	2.67926
2.6	2.6499
2.7	2.45544
2.8	2.09966
2.9	1.60039
3	0.988308
3.1	0.304541
3.2	-0.402861
3.3	-1.08319
3.4	-1.68776
3.5	-2.17453
3.6	-2.51215
3.7	-2.68299
3.8	-2.68474
3.9	-2.53042
4	-2.24669
4.1	-1.87074
4.2	-1.44611
4.3	-1.01815
4.4	-0.629622
4.5	-0.317131
4.6	-0.108688
4.7	-0.0224514
4.8	-0.0663625
4.9	-0.23813
5	-0.525064
5.1	-0.90358
5.2	-1.3388
5.3	-1.78537
5.4	-2.1908
5.5	-2.50232
5.6	-2.67635
5.7	-2.68766
5.8	-2.53352
5.9	-2.22912
6	-1.79535
6.1	-1.24782
6.2	-0.599923
6.3	0.115623
6.4	0.827201
6.5	1.44764
6.6	1.94655
6.7	2.36355
6.8	2.64115
6.9	2.66116
7	2.54082
